sample,label,Fc0,Fc1,Fc2,Fc3,Fc4,Fv5,Fv6,Fv7,Fv8,Fv9
Fc0C1Fv7V2Fv8V3LPS28,R,C0,C3,C3,C0,C0,0,0,2,3,0
Fc0C1Fv7V2Fv8V3LPS29,P,C0,C0,C2,C0,C7,0,4,2,0,6
Fc0C1Fv7V2Fv8V3LPS30,T,C2,C1,C0,C0,C6,0,0,2,2,0
Fc0C1Fv7V2Fv8V3LPS31,T,C0,C3,C0,C0,C0,6,3,2,5,0
Fc0C1Fv7V2Fv9V1LQS7,Q,C1,C0,C2,C0,C0,0,0,1,0,0
Fc0C1Fv7V2Fv9V1LQS8,S,C6,C0,C0,C0,C0,0,0,2,0,1
Fc0C1Fv7V2Fv9V1LQS9,T,C0,C0,C5,C8,C0,0,0,1,0,0
Fc0C1Fv7V2Fv9V1LQS10,Q,C0,C0,C0,C0,C0,0,1,1,7,0
Fc0C1Fv7V2Fv9V1LQS12,T,C0,C3,C9,C0,C0,0,0,1,0,1
Fc0C1Fv7V2Fv9V1LQS13,Q,C0,C0,C0,C7,C0,3,0,1,0,1
Fc0C1Fv7V2Fv9V1LQS14,S,C0,C0,C0,C0,C0,0,0,1,0,0
Fc0C1Fv7V2Fv9V1LQS15,P,C4,C0,C0,C1,C2,2,8,2,2,1
Fc0C1Fv7V2Fv9V1LQS16,T,C0,C8,C0,C0,C0,0,4,2,4,1
Fc0C1Fv7V2Fv9V1LQS17,S,C8,C0,C7,C5,C6,0,0,1,0,0
Fc0C1Fv7V2Fv9V1LQS18,Q,C2,C0,C4,C0,C9,0,0,2,4,0
Fc0C1Fv7V2Fv9V1LQS19,P,C0,C8,C0,C6,C6,0,7,2,0,0
Fc0C1Fv7V2Fv9V1LQS20,P,C1,C0,C0,C0,C7,4,0,2,0,1
Fc0C1Fv7V2Fv9V1LQS21,Q,C0,C3,C0,C0,C0,0,0,2,0,1
Fc0C1Fv7V2Fv9V1LQS22,Q,C0,C1,C3,C0,C0,0,0,2,8,0
Fc0C1Fv7V2Fv9V1LQS23,Q,C0,C9,C0,C0,C1,0,0,1,0,1
Fc0C1Fv7V2Fv9V1LQS24,S,C8,C1,C0,C0,C0,0,0,2,5,0
Fc0C1Fv7V2Fv9V1LQS25,P,C6,C0,C0,C8,C1,0,4,2,2,3
Fc0C1Fv7V2Fv9V1LQS26,V,C3,C0,C9,C8,C3,0,0,2,0,0
Fc0C1Fv7V2Fv9V1LQS27,T,C4,C3,C0,C0,C0,0,4,2,4,0
Fc0C1Fv7V2Fv9V1LQS28,P,C4,C0,C0,C0,C3,0,0,2,6,0
Fc0C1Fv7V2Fv9V1LQS29,S,C0,C0,C1,C8,C0,2,0,1,0,0
Fc0C1Fv7V2Fv9V1LQS30,T,C0,C0,C1,C4,C0,0,0,2,0,0
Fc0C1Fv7V2Fv9V1LQS31,P,C3,C1,C0,C9,C5,2,1,3,1,2
Fc0C1Fv7V2Fv9V2LPS7,S,C6,C0,C0,C0,C0,0,11,1,3,2
Fc0C1Fv7V2Fv9V2LPS8,R,C1,C3,C0,C8,C0,0,7,2,0,1
Fc0C1Fv7V2Fv9V2LPS9,R,C0,C9,C0,C1,C5,0,5,2,0,1
Fc0C1Fv7V2Fv9V2LPS10,P,C0,C0,C4,C0,C3,0,0,2,3,1
Fc0C1Fv7V2Fv9V2LPS11,T,C0,C0,C8,C1,C2,0,0,2,6,1
Fc0C1Fv7V2Fv9V2LPS12,R,C0,C0,C7,C0,C0,0,0,2,0,1
Fc0C1Fv7V2Fv9V2LPS13,P,C3,C0,C8,C5,C0,0,0,1,0,2
Fc0C1Fv7V2Fv9V2LPS14,T,C5,C5,C1,C0,C0,0,0,1,0,2
Fc0C1Fv7V2Fv9V2LPS15,T,C0,C6,C0,C0,C6,0,0,2,0,2
Fc0C1Fv7V2Fv9V2LPS16,T,C5,C3,C0,C2,C8,0,0,1,0,1
Fc0C1Fv7V2Fv9V2LPS17,P,C3,C0,C0,C5,C8,0,0,2,0,2
Fc0C1Fv7V2Fv9V2LPS18,P,C1,C1,C0,C1,C7,0,0,2,0,2
Fc0C1Fv7V2Fv9V2LPS19,P,C0,C0,C5,C0,C0,0,0,2,0,1
Fc0C1Fv7V2Fv9V2LPS20,V,C0,C4,C0,C6,C3,0,4,3,0,1
Fc0C1Fv7V2Fv9V2LPS21,Q,C0,C0,C0,C0,C0,0,0,2,0,2
Fc0C1Fv7V2Fv9V2LPS22,P,C9,C1,C0,C7,C1,0,2,2,3,2
Fc0C1Fv7V2Fv9V2LPS23,R,C2,C3,C8,C0,C1,0,4,1,1,1
Fc0C1Fv7V2Fv9V2LPS25,P,C0,C8,C0,C0,C7,0,0,1,0,1
Fc0C1Fv7V2Fv9V2LPS26,P,C6,C1,C0,C2,C4,0,9,2,0,2
Fc0C1Fv7V2Fv9V2LPS29,T,C0,C2,C0,C0,C0,0,0,1,0,1
Fc0C1Fv7V2Fv9V2LPS30,T,C0,C0,C0,C0,C0,0,0,1,0,1
Fc0C1Fv7V2Fv9V2LPS31,P,C4,C0,C5,C0,C0,0,0,2,0,2
Fc0C1Fv7V2Fv9V3LVS7,S,C0,C8,C0,C0,C8,0,0,1,0,3
Fc0C1Fv7V2Fv9V3LVS9,R,C7,C0,C9,C0,C0,0,3,2,2,3
Fc0C1Fv7V2Fv9V3LVS10,V,C0,C5,C0,C0,C0,0,0,1,0,2
Fc0C1Fv7V2Fv9V3LVS11,V,C0,C1,C0,C0,C0,3,7,2,0,2
Fc0C1Fv7V2Fv9V3LVS13,P,C0,C0,C6,C0,C0,0,0,2,0,2
Fc0C1Fv7V2Fv9V3LVS14,R,C9,C9,C0,C0,C9,0,0,2,6,2
Fc0C1Fv7V2Fv9V3LVS15,S,C9,C0,C0,C0,C3,0,0,2,0,2
Fc0C1Fv7V2Fv9V3LVS16,S,C0,C0,C0,C0,C0,0,2,2,5,3
Fc0C1Fv7V2Fv9V3LVS19,P,C0,C0,C0,C0,C8,6,0,1,0,3
Fc0C1Fv7V2Fv9V3LVS20,V,C1,C0,C3,C0,C0,0,6,2,0,2
Fc0C1Fv7V2Fv9V3LVS21,P,C0,C0,C0,C3,C0,0,3,2,5,4
Fc0C1Fv7V2Fv9V3LVS22,V,C9,C0,C0,C0,C0,0,7,2,0,3
Fc0C1Fv7V2Fv9V3LVS23,V,C0,C0,C1,C2,C0,0,7,1,0,2
Fc0C1Fv7V2Fv9V3LVS24,V,C0,C1,C7,C0,C0,4,0,2,0,2
Fc0C1Fv7V2Fv9V3LVS25,R,C0,C0,C3,C0,C0,0,0,1,3,3
Fc0C1Fv7V2Fv9V3LVS26,P,C0,C0,C2,C0,C6,0,7,3,1,3
Fc0C1Fv7V2Fv9V3LVS27,S,C0,C0,C8,C4,C2,5,0,1,0,2
Fc0C1Fv7V2Fv9V3LVS28,Q,C0,C0,C6,C4,C0,0,0,2,3,3
Fc0C1Fv7V2Fv9V3LVS29,S,C0,C2,C0,C3,C9,5,0,1,0,2
Fc0C1Fv7V2Fv9V3LVS30,S,C0,C0,C9,C7,C9,5,5,2,1,3
Fc0C1Fv7V2Fv9V3LVS31,V,C0,C6,C0,C6,C0,3,0,2,0,2
Fc0C1Fv7V3LPS7,Q,C5,C5,C5,C0,C0,0,0,2,0,0
Fc0C1Fv7V3LPS9,Q,C0,C0,C5,C0,C9,4,3,2,1,0
Fc0C1Fv7V3LPS10,S,C0,C1,C0,C0,C0,0,0,3,0,0
Fc0C1Fv7V3LPS11,R,C0,C0,C2,C8,C1,0,0,2,6,0
Fc0C1Fv7V3LPS12,P,C0,C2,C2,C2,C3,0,0,2,0,0
Fc0C1Fv7V3LPS13,Q,C0,C0,C0,C2,C1,0,0,3,0,0
Fc0C1Fv7V3LPS14,Q,C0,C0,C5,C2,C2,0,0,3,0,6
Fc0C1Fv7V3LPS15,P,C0,C0,C3,C0,C0,0,2,3,3,6
Fc0C1Fv7V3LPS16,P,C0,C0,C0,C2,C7,0,5,2,5,0
Fc0C1Fv7V3LPS17,P,C0,C0,C0,C0,C0,0,0,3,0,0
Fc0C1Fv7V3LPS18,P,C0,C0,C0,C0,C0,0,8,2,0,0
Fc0C1Fv7V3LPS19,T,C0,C0,C6,C7,C3,0,8,2,0,0
Fc0C1Fv7V3LPS20,P,C0,C7,C5,C0,C1,4,0,3,0,8
Fc0C1Fv7V3LPS21,Q,C3,C0,C0,C0,C3,0,0,2,0,0
Fc0C1Fv7V3LPS22,S,C0,C3,C2,C1,C9,0,5,3,0,0
Fc0C1Fv7V3LPS23,Q,C3,C0,C0,C1,C0,3,2,2,6,0
Fc0C1Fv7V3LPS24,Q,C2,C0,C3,C0,C0,0,9,3,0,0
Fc0C1Fv7V3LPS25,S,C1,C1,C0,C0,C0,0,0,2,0,6
Fc0C1Fv7V3LPS27,T,C1,C7,C5,C0,C1,4,3,2,7,0
Fc0C1Fv7V3LPS28,P,C0,C2,C7,C7,C1,1,8,2,3,6
Fc0C1Fv7V3LPS29,Q,C2,C0,C8,C0,C1,0,0,2,0,0
Fc0C1Fv7V3LPS30,Q,C2,C2,C0,C0,C7,0,0,3,0,0
Fc0C1Fv7V3LPS31,S,C0,C1,C9,C5,C0,0,0,2,7,0
Fc0C1Fv7V3Fv8V1LQS7,T,C0,C6,C0,C8,C0,3,0,0,4,8
Fc0C1Fv7V3Fv8V1LQS8,Q,C0,C0,C0,C6,C7,0,0,2,0,0
Fc0C1Fv7V3Fv8V1LQS9,P,C2,C2,C0,C0,C0,0,4,1,0,5
Fc0C1Fv7V3Fv8V1LQS10,Q,C2,C8,C0,C0,C9,0,3,1,1,3
Fc0C1Fv7V3Fv8V1LQS11,V,C0,C0,C0,C7,C5,0,0,3,0,0
Fc0C1Fv7V3Fv8V1LQS12,S,C0,C0,C0,C0,C4,3,0,2,4,0
Fc0C1Fv7V3Fv8V1LQS13,V,C9,C9,C0,C0,C5,0,0,3,0,0
Fc0C1Fv7V3Fv8V1LQS14,Q,C0,C1,C3,C0,C2,1,0,1,3,2
Fc0C1Fv7V3Fv8V1LQS15,Q,C9,C0,C0,C5,C6,5,0,2,1,0
Fc0C1Fv7V3Fv8V1LQS16,R,C4,C0,C0,C0,C0,0,0,3,1,0
Fc0C1Fv7V3Fv8V1LQS17,P,C0,C0,C1,C0,C0,0,0,3,1,0
Fc0C1Fv7V3Fv8V1LQS18,P,C9,C0,C1,C0,C1,4,0,2,0,0
Fc0C1Fv7V3Fv8V1LQS19,P,C0,C3,C0,C0,C7,0,8,2,0,0
Fc0C1Fv7V3Fv8V1LQS20,Q,C0,C0,C9,C0,C7,0,0,3,0,0
Fc0C1Fv7V3Fv8V1LQS21,Q,C0,C0,C0,C0,C7,0,7,2,0,0
Fc0C1Fv7V3Fv8V1LQS22,V,C0,C0,C8,C1,C2,7,0,5,1,0
Fc0C1Fv7V3Fv8V1LQS23,V,C0,C0,C0,C1,C0,1,0,2,5,4
Fc0C1Fv7V3Fv8V1LQS24,R,C9,C0,C0,C0,C2,0,0,3,0,0
Fc0C1Fv7V3Fv8V1LQS25,S,C0,C6,C0,C0,C0,0,0,3,1,0
Fc0C1Fv7V3Fv8V1LQS26,V,C0,C0,C5,C0,C3,0,0,3,1,0
Fc0C1Fv7V3Fv8V1LQS27,P,C4,C0,C0,C1,C4,0,0,3,0,0
Fc0C1Fv7V3Fv8V1LQS28,R,C3,C0,C5,C0,C0,1,0,0,1,7
Fc0C1Fv7V3Fv8V1LQS29,V,C3,C0,C8,C0,C0,9,1,0,0,0
Fc0C1Fv7V3Fv8V1LQS30,P,C0,C3,C3,C7,C0,1,0,2,4,8
Fc0C1Fv7V3Fv8V2LRS7,R,C3,C0,C0,C4,C1,7,0,2,0,0
Fc0C1Fv7V3Fv8V2LRS8,R,C0,C0,C0,C0,C7,3,0,3,1,0
Fc0C1Fv7V3Fv8V2LRS9,S,C0,C7,C7,C0,C8,0,0,2,2,0
Fc0C1Fv7V3Fv8V2LRS10,S,C9,C0,C0,C6,C1,5,0,2,1,0
Fc0C1Fv7V3Fv8V2LRS11,P,C0,C0,C3,C0,C0,3,0,3,2,0
Fc0C1Fv7V3Fv8V2LRS12,T,C0,C0,C1,C0,C0,0,0,2,1,4
Fc0C1Fv7V3Fv8V2LRS13,P,C0,C0,C9,C3,C0,0,0,2,2,0
Fc0C1Fv7V3Fv8V2LRS14,S,C0,C6,C0,C3,C2,7,0,2,1,0
Fc0C1Fv7V3Fv8V2LRS15,V,C0,C0,C0,C0,C7,4,0,3,1,0
Fc0C1Fv7V3Fv8V2LRS16,P,C0,C0,C2,C3,C5,0,0,2,2,3
Fc0C1Fv7V3Fv8V2LRS17,T,C0,C0,C0,C0,C0,0,0,2,1,0
Fc0C1Fv7V3Fv8V2LRS18,S,C0,C0,C0,C2,C1,0,0,3,2,0
Fc0C1Fv7V3Fv8V2LRS19,Q,C6,C0,C0,C0,C8,0,0,3,1,0
Fc0C1Fv7V3Fv8V2LRS20,S,C0,C0,C6,C0,C0,0,0,3,1,0
Fc0C1Fv7V3Fv8V2LRS21,S,C0,C2,C7,C0,C2,0,0,2,2,0
Fc0C1Fv7V3Fv8V2LRS22,T,C0,C0,C0,C0,C0,1,7,2,2,0
Fc0C1Fv7V3Fv8V2LRS23,T,C0,C0,C0,C0,C0,8,1,2,0,0
Fc0C1Fv7V3Fv8V2LRS24,T,C0,C0,C0,C2,C2,0,0,3,1,0
Fc0C1Fv7V3Fv8V2LRS25,V,C9,C5,C0,C0,C0,0,0,2,1,7
Fc0C1Fv7V3Fv8V2LRS26,R,C3,C0,C1,C8,C5,7,0,3,0,2
Fc0C1Fv7V3Fv8V2LRS27,S,C0,C2,C9,C8,C8,0,0,2,2,0
Fc0C1Fv7V3Fv8V2LRS28,T,C6,C1,C1,C0,C3,0,7,4,1,0
Fc0C1Fv7V3Fv8V2LRS30,Q,C2,C0,C3,C2,C1,9,0,2,0,1
Fc0C1Fv7V3Fv8V2LRS31,P,C9,C0,C2,C0,C1,0,0,2,1,5
Fc0C1Fv7V3Fv8V3LSS7,S,C0,C9,C0,C9,C2,0,0,2,2,0
Fc0C1Fv7V3Fv8V3LSS8,T,C0,C2,C0,C2,C0,3,0,3,1,0
Fc0C1Fv7V3Fv8V3LSS9,Q,C0,C2,C0,C8,C4,0,5,2,2,0
Fc0C1Fv7V3Fv8V3LSS10,R,C0,C0,C0,C6,C0,0,0,3,3,0
Fc0C1Fv7V3Fv8V3LSS11,R,C3,C0,C2,C0,C0,0,0,2,3,0
Fc0C1Fv7V3Fv8V3LSS12,S,C0,C0,C0,C0,C3,0,0,2,3,0
Fc0C1Fv7V3Fv8V3LSS13,Q,C1,C7,C0,C9,C0,0,0,2,2,0
Fc0C1Fv7V3Fv8V3LSS14,T,C0,C0,C6,C0,C9,0,0,3,1,9
Fc0C1Fv7V3Fv8V3LSS15,P,C0,C4,C0,C0,C0,0,0,2,3,2
Fc0C1Fv7V3Fv8V3LSS17,Q,C0,C0,C2,C9,C0,0,5,2,2,0
Fc0C1Fv7V3Fv8V3LSS18,Q,C0,C0,C0,C0,C1,0,3,3,5,0
Fc0C1Fv7V3Fv8V3LSS19,R,C0,C0,C0,C8,C6,0,7,1,0,1
Fc0C1Fv7V3Fv8V3LSS20,P,C3,C8,C0,C9,C3,0,1,3,0,8
Fc0C1Fv7V3Fv8V3LSS21,Q,C1,C5,C0,C0,C4,0,0,2,3,0
Fc0C1Fv7V3Fv8V3LSS22,P,C0,C4,C0,C8,C2,0,0,2,2,0
Fc0C1Fv7V3Fv8V3LSS23,Q,C5,C0,C0,C0,C0,0,0,2,3,0
Fc0C1Fv7V3Fv8V3LSS24,P,C0,C0,C2,C8,C3,5,1,2,1,1
Fc0C1Fv7V3Fv8V3LSS25,R,C2,C2,C0,C9,C0,0,0,2,3,0
Fc0C1Fv7V3Fv8V3LSS26,P,C8,C0,C8,C1,C0,0,0,2,4,6
Fc0C1Fv7V3Fv8V3LSS27,S,C0,C0,C0,C8,C0,0,0,3,3,0
Fc0C1Fv7V3Fv8V3LSS28,Q,C0,C1,C1,C0,C0,0,0,2,2,0
Fc0C1Fv7V3Fv8V3LSS29,P,C0,C0,C0,C0,C0,5,1,4,2,0
Fc0C1Fv7V3Fv8V3LSS30,P,C1,C1,C1,C0,C0,0,0,3,2,0
Fc0C1Fv7V3Fv8V3LSS31,Q,C0,C0,C0,C7,C2,0,0,3,3,0
Fc0C1Fv7V3Fv9V1LTS7,S,C5,C0,C0,C0,C5,0,3,3,1,3
Fc0C1Fv7V3Fv9V1LTS8,P,C0,C9,C0,C7,C3,0,8,1,0,0
Fc0C1Fv7V3Fv9V1LTS9,T,C8,C6,C3,C1,C1,0,7,2,0,0
Fc0C1Fv7V3Fv9V1LTS10,Q,C0,C0,C0,C7,C1,0,0,2,0,1
Fc0C1Fv7V3Fv9V1LTS11,Q,C5,C0,C0,C2,C0,0,4,3,2,2
Fc0C1Fv7V3Fv9V1LTS12,R,C0,C1,C8,C0,C0,0,0,3,9,0
Fc0C1Fv7V3Fv9V1LTS13,V,C0,C2,C3,C0,C7,0,0,3,0,0
Fc0C1Fv7V3Fv9V1LTS14,R,C0,C2,C0,C2,C3,0,0,3,0,1
Fc0C1Fv7V3Fv9V1LTS15,Q,C7,C7,C0,C0,C0,0,0,2,0,1
Fc0C1Fv7V3Fv9V1LTS16,T,C8,C0,C0,C3,C2,1,5,3,0,2
Fc0C1Fv7V3Fv9V1LTS17,T,C3,C7,C7,C8,C0,0,0,2,0,1
Fc0C1Fv7V3Fv9V1LTS18,P,C0,C2,C0,C1,C7,1,4,4,0,0
Fc0C1Fv7V3Fv9V1LTS19,Q,C0,C0,C0,C0,C0,7,0,2,0,0
Fc0C1Fv7V3Fv9V1LTS20,T,C0,C0,C0,C0,C0,0,0,3,0,1
Fc0C1Fv7V3Fv9V1LTS21,R,C0,C1,C8,C0,C4,0,7,3,3,1
Fc0C1Fv7V3Fv9V1LTS22,S,C0,C1,C1,C0,C0,0,0,3,0,1
Fc0C1Fv7V3Fv9V1LTS23,R,C0,C0,C0,C6,C0,0,0,2,6,0
Fc0C1Fv7V3Fv9V1LTS24,P,C0,C1,C0,C0,C0,0,0,2,7,1
Fc0C1Fv7V3Fv9V1LTS25,R,C2,C0,C0,C0,C2,3,0,3,0,1
Fc0C1Fv7V3Fv9V1LTS26,S,C1,C0,C4,C0,C3,0,8,2,1,2
Fc0C1Fv7V3Fv9V1LTS27,T,C0,C0,C0,C2,C0,5,0,2,0,1
Fc0C1Fv7V3Fv9V1LTS28,R,C0,C2,C0,C0,C0,0,0,1,7,0
Fc0C1Fv7V3Fv9V1LTS29,Q,C0,C5,C5,C0,C0,0,0,2,0,0
Fc0C1Fv7V3Fv9V1LTS30,T,C0,C0,C0,C0,C0,0,0,3,8,1
Fc0C1Fv7V3Fv9V1LTS31,Q,C1,C3,C0,C0,C4,0,1,3,4,0
Fc0C1Fv7V3Fv9V2LVS8,V,C0,C0,C6,C7,C7,3,0,2,0,1
Fc0C1Fv7V3Fv9V2LVS9,V,C0,C6,C0,C0,C0,0,0,3,0,1
Fc0C1Fv7V3Fv9V2LVS10,R,C9,C5,C0,C0,C0,5,0,2,0,2
Fc0C1Fv7V3Fv9V2LVS11,R,C7,C0,C3,C4,C2,0,0,3,0,2
Fc0C1Fv7V3Fv9V2LVS12,V,C2,C8,C3,C0,C3,0,10,2,0,2
Fc0C1Fv7V3Fv9V2LVS13,R,C3,C0,C0,C0,C4,0,4,1,5,1
Fc0C1Fv7V3Fv9V2LVS14,V,C2,C0,C0,C0,C0,0,8,2,0,1
Fc0C1Fv7V3Fv9V2LVS16,R,C0,C8,C0,C0,C1,0,0,3,0,2
Fc0C1Fv7V3Fv9V2LVS17,R,C0,C0,C0,C0,C3,0,0,2,0,2
Fc0C1Fv7V3Fv9V2LVS18,S,C0,C4,C2,C7,C3,0,0,2,0,1
Fc0C1Fv7V3Fv9V2LVS19,S,C0,C1,C0,C1,C0,0,0,3,0,2
Fc0C1Fv7V3Fv9V2LVS20,T,C0,C0,C2,C0,C0,0,3,2,5,2
Fc0C1Fv7V3Fv9V2LVS21,P,C0,C2,C0,C0,C0,0,3,2,1,3
Fc0C1Fv7V3Fv9V2LVS22,R,C3,C0,C1,C7,C0,4,0,3,1,1
Fc0C1Fv7V3Fv9V2LVS23,S,C0,C2,C0,C0,C0,7,1,2,0,2
Fc0C1Fv7V3Fv9V2LVS24,P,C0,C1,C0,C1,C5,0,0,3,0,2
Fc0C1Fv7V3Fv9V2LVS25,R,C0,C0,C9,C6,C0,0,1,3,7,1
Fc0C1Fv7V3Fv9V2LVS26,V,C0,C0,C0,C0,C3,0,0,2,0,2
Fc0C1Fv7V3Fv9V2LVS27,R,C4,C0,C8,C3,C1,0,1,1,2,1
Fc0C1Fv7V3Fv9V2LVS28,V,C4,C5,C6,C0,C0,0,0,2,0,1
Fc0C1Fv7V3Fv9V2LVS30,R,C1,C0,C8,C0,C0,0,0,3,0,1
Fc0C1Fv7V3Fv9V2LVS31,R,C7,C0,C0,C1,C0,0,0,3,3,2
Fc0C1Fv7V3Fv9V3LPS7,T,C0,C0,C0,C7,C7,6,0,3,0,2
Fc0C1Fv7V3Fv9V3LPS8,P,C0,C7,C0,C2,C0,0,0,3,0,3
Fc0C1Fv7V3Fv9V3LPS10,P,C0,C0,C3,C0,C0,0,0,2,0,3
Fc0C1Fv7V3Fv9V3LPS11,Q,C4,C9,C0,C8,C0,10,0,2,0,3
Fc0C1Fv7V3Fv9V3LPS12,Q,C0,C0,C0,C0,C0,5,0,3,0,3
Fc0C1Fv7V3Fv9V3LPS13,Q,C0,C0,C0,C0,C0,0,0,3,0,2
Fc0C1Fv7V3Fv9V3LPS14,T,C0,C0,C1,C0,C0,0,0,3,0,3
Fc0C1Fv7V3Fv9V3LPS15,T,C0,C0,C0,C6,C0,7,0,5,0,3
Fc0C1Fv7V3Fv9V3LPS16,P,C5,C0,C2,C0,C7,0,5,3,0,3
Fc0C1Fv7V3Fv9V3LPS17,P,C0,C0,C0,C0,C0,0,0,2,0,3
Fc0C1Fv7V3Fv9V3LPS18,T,C1,C0,C6,C0,C0,0,0,3,0,3
Fc0C1Fv7V3Fv9V3LPS19,P,C0,C0,C0,C0,C0,0,6,3,0,3
Fc0C1Fv7V3Fv9V3LPS20,Q,C0,C1,C0,C0,C2,6,0,3,0,3
Fc0C1Fv7V3Fv9V3LPS21,T,C8,C2,C0,C7,C5,0,0,3,6,2
Fc0C1Fv7V3Fv9V3LPS22,R,C7,C3,C0,C0,C0,3,2,2,4,4
Fc0C1Fv7V3Fv9V3LPS23,V,C0,C0,C0,C0,C4,0,5,3,8,2
Fc0C1Fv7V3Fv9V3LPS24,T,C0,C3,C2,C1,C0,0,0,3,0,2
Fc0C1Fv7V3Fv9V3LPS25,V,C0,C0,C2,C0,C7,0,4,3,0,2
Fc0C1Fv7V3Fv9V3LPS26,P,C0,C3,C0,C8,C0,6,0,2,0,2
Fc0C1Fv7V3Fv9V3LPS27,P,C0,C0,C1,C0,C0,0,0,2,0,3
Fc0C1Fv7V3Fv9V3LPS28,P,C0,C0,C0,C0,C0,0,0,3,0,2
Fc0C1Fv7V3Fv9V3LPS29,S,C0,C0,C0,C2,C0,0,4,3,0,2
Fc0C1Fv7V3Fv9V3LPS31,S,C8,C2,C7,C5,C0,0,8,2,0,3
Fc0C1Fv8V1LQS7,T,C2,C0,C2,C7,C2,5,2,0,1,8
Fc0C1Fv8V1LQS8,P,C5,C7,C1,C9,C4,0,0,0,1,0
Fc0C1Fv8V1LQS9,Q,C0,C5,C0,C0,C3,0,8,0,0,5
Fc0C1Fv8V1LQS10,T,C2,C0,C6,C0,C0,0,2,0,0,2
Fc0C1Fv8V1LQS11,T,C0,C3,C0,C2,C0,0,0,0,0,0
Fc0C1Fv8V1LQS12,Q,C1,C2,C0,C0,C0,6,5,0,2,0
Fc0C1Fv8V1LQS14,P,C8,C4,C0,C0,C2,0,0,0,0,0
Fc0C1Fv8V1LQS16,Q,C2,C1,C1,C0,C0,0,7,0,1,0
Fc0C1Fv8V1LQS17,T,C0,C0,C0,C0,C3,0,0,0,0,0
Fc0C1Fv8V1LQS18,P,C0,C2,C4,C3,C4,0,4,0,1,0
Fc0C1Fv8V1LQS19,R,C0,C0,C0,C0,C0,8,0,0,0,0
Fc0C1Fv8V1LQS20,R,C7,C0,C9,C7,C0,0,8,7,1,0
Fc0C1Fv8V1LQS21,P,C2,C2,C0,C1,C6,0,1,4,0,0
Fc0C1Fv8V1LQS22,Q,C0,C0,C0,C4,C2,0,3,4,0,5
Fc0C1Fv8V1LQS23,P,C0,C1,C0,C0,C2,0,0,0,1,0
Fc0C1Fv8V1LQS24,V,C2,C0,C0,C0,C0,0,7,0,1,5
Fc0C1Fv8V1LQS25,R,C1,C0,C0,C0,C2,6,6,0,3,0
Fc0C1Fv8V1LQS26,R,C3,C0,C0,C1,C5,0,0,0,1,5
Fc0C1Fv8V1LQS27,Q,C0,C0,C4,C5,C2,1,5,5,0,0
Fc0C1Fv8V1LQS30,P,C1,C0,C0,C8,C1,1,2,0,0,7
Fc0C1Fv8V1LQS31,V,C3,C1,C0,C0,C0,6,0,0,0,0
Fc0C1Fv8V1Fv9V1LRS7,S,C5,C0,C0,C2,C0,0,7,6,0,1
Fc0C1Fv8V1Fv9V1LRS8,Q,C0,C0,C7,C2,C1,0,0,0,0,1
Fc0C1Fv8V1Fv9V1LRS9,R,C7,C0,C0,C2,C8,0,6,0,0,0
Fc0C1Fv8V1Fv9V1LRS10,Q,C2,C3,C0,C3,C0,0,0,0,1,0
Fc0C1Fv8V1Fv9V1LRS11,R,C1,C0,C0,C0,C0,0,0,0,0,1
Fc0C1Fv8V1Fv9V1LRS12,R,C0,C0,C7,C0,C0,6,0,0,0,1
Fc0C1Fv8V1Fv9V1LRS13,R,C2,C0,C0,C0,C1,0,1,3,1,1
Fc0C1Fv8V1Fv9V1LRS14,Q,C0,C0,C1,C0,C0,7,0,0,1,0
Fc0C1Fv8V1Fv9V1LRS15,P,C9,C0,C2,C1,C3,2,0,0,1,0
Fc0C1Fv8V1Fv9V1LRS16,P,C0,C2,C6,C2,C1,0,0,3,6,1
Fc0C1Fv8V1Fv9V1LRS17,R,C0,C1,C0,C0,C1,0,0,4,1,0
Fc0C1Fv8V1Fv9V1LRS18,S,C0,C0,C3,C0,C3,0,3,0,0,0
Fc0C1Fv8V1Fv9V1LRS19,Q,C0,C3,C0,C6,C0,6,0,0,0,3
Fc0C1Fv8V1Fv9V1LRS20,S,C0,C0,C0,C0,C7,0,0,0,1,1
Fc0C1Fv8V1Fv9V1LRS21,P,C0,C2,C3,C0,C0,0,10,0,0,1
Fc0C1Fv8V1Fv9V1LRS22,P,C3,C0,C0,C1,C2,0,8,0,0,0
Fc0C1Fv8V1Fv9V1LRS23,S,C1,C9,C9,C6,C0,0,0,0,1,1
Fc0C1Fv8V1Fv9V1LRS24,Q,C0,C0,C0,C0,C0,0,0,0,1,1
Fc0C1Fv8V1Fv9V1LRS25,Q,C0,C0,C1,C0,C0,0,7,0,0,1
Fc0C1Fv8V1Fv9V1LRS26,S,C0,C0,C2,C1,C0,0,9,0,1,1
Fc0C1Fv8V1Fv9V1LRS27,P,C1,C0,C7,C0,C6,0,0,0,0,1
Fc0C1Fv8V1Fv9V1LRS28,Q,C0,C0,C0,C0,C0,0,0,3,0,0
Fc0C1Fv8V1Fv9V1LRS29,R,C0,C0,C9,C0,C6,0,0,0,0,1
Fc0C1Fv8V1Fv9V1LRS30,R,C2,C4,C3,C0,C3,0,5,0,0,0
Fc0C1Fv8V1Fv9V1LRS31,P,C2,C0,C7,C0,C0,4,4,1,0,0
Fc0C1Fv8V1Fv9V2LSS7,R,C8,C0,C0,C0,C0,0,2,3,0,2
