sample,label,Fc0,Fc1,Fc2,Fc3,Fc4,Fc5,Fv6,Fv7,Fv8,Fv9,Fv10,Fv11
Fc0C1Fc1C3Fv6V3LQS15,P,C0,C2,C6,C3,C0,C2,3,6,2,1,4,0
Fc0C1Fc1C3Fv7V1LRS3,S,C0,C1,C0,C0,C0,C2,0,1,2,0,0,2
Fc0C1Fc1C3Fv7V1LRS5,P,C0,C0,C0,C0,C0,C4,1,1,4,0,0,0
Fc0C1Fc1C3Fv7V1LRS6,P,C2,C1,C1,C2,C0,C4,0,1,0,0,0,0
Fc0C1Fc1C3Fv7V1LRS7,R,C9,C0,C6,C0,C0,C8,1,1,0,2,5,0
Fc0C1Fc1C3Fv7V1LRS8,V,C2,C9,C8,C3,C4,C0,2,0,3,0,0,4
Fc0C1Fc1C3Fv7V1LRS9,Q,C3,C0,C0,C9,C0,C2,0,2,3,2,1,4
Fc0C1Fc1C3Fv7V1LRS10,T,C4,C6,C2,C9,C3,C0,2,0,5,0,0,0
Fc0C1Fc1C3Fv7V1LRS11,V,C2,C0,C1,C0,C5,C5,0,1,8,3,4,0
Fc0C1Fc1C3Fv7V1LRS13,Q,C3,C0,C0,C0,C3,C0,6,4,3,6,2,5
Fc0C1Fc1C3Fv7V1LRS14,V,C0,C2,C0,C9,C8,C0,1,0,3,4,1,0
Fc0C1Fc1C3Fv7V1LRS15,V,C3,C0,C3,C1,C3,C7,0,5,2,6,2,0
Fc0C1Fc1C3Fv7V2LSS3,T,C5,C5,C3,C8,C0,C0,4,2,2,0,5,0
Fc0C1Fc1C3Fv7V2LSS4,R,C8,C5,C0,C2,C3,C7,0,1,8,1,0,5
Fc0C1Fc1C3Fv7V2LSS5,P,C1,C6,C2,C3,C0,C0,5,2,0,3,2,4
Fc0C1Fc1C3Fv7V2LSS6,S,C0,C8,C7,C0,C7,C2,0,2,0,9,6,7
Fc0C1Fc1C3Fv7V2LSS7,S,C9,C0,C0,C6,C8,C2,0,2,0,3,5,0
Fc0C1Fc1C3Fv7V2LSS8,V,C5,C0,C0,C0,C0,C3,0,1,3,4,5,0
Fc0C1Fc1C3Fv7V2LSS9,V,C0,C7,C0,C3,C7,C3,1,1,1,0,3,4
Fc0C1Fc1C3Fv7V2LSS10,S,C7,C5,C2,C2,C0,C0,6,4,1,1,2,5
Fc0C1Fc1C3Fv7V2LSS11,V,C0,C0,C5,C0,C6,C0,0,1,0,0,6,0
Fc0C1Fc1C3Fv7V2LSS12,P,C1,C0,C1,C0,C7,C1,0,2,0,0,0,0
Fc0C1Fc1C3Fv7V2LSS15,S,C5,C0,C8,C6,C3,C9,0,2,1,1,3,4
Fc0C1Fc1C3Fv7V3LPS3,T,C3,C0,C1,C0,C2,C0,0,2,0,1,2,0
Fc0C1Fc1C3Fv7V3LPS4,S,C9,C0,C1,C1,C3,C0,0,3,0,0,0,0
Fc0C1Fc1C3Fv7V3LPS5,T,C1,C3,C0,C3,C6,C3,0,2,0,0,0,0
Fc0C1Fc1C3Fv7V3LPS6,V,C0,C2,C4,C7,C3,C6,0,3,0,4,0,0
Fc0C1Fc1C3Fv7V3LPS7,V,C7,C0,C0,C4,C0,C0,0,2,0,3,3,2
Fc0C1Fc1C3Fv7V3LPS8,Q,C0,C1,C3,C5,C0,C5,4,3,1,1,8,3
Fc0C1Fc1C3Fv7V3LPS9,P,C6,C0,C7,C3,C0,C0,0,1,2,8,5,2
Fc0C1Fc1C3Fv7V3LPS10,T,C0,C2,C0,C7,C1,C7,0,2,0,0,0,0
Fc0C1Fc1C3Fv7V3LPS11,Q,C0,C2,C0,C8,C2,C7,1,2,4,0,0,0
Fc0C1Fc1C3Fv7V3LPS12,Q,C5,C0,C0,C1,C1,C9,0,2,0,5,0,0
Fc0C1Fc1C3Fv7V3LPS13,P,C6,C0,C0,C2,C0,C1,0,3,0,0,5,0
Fc0C1Fc1C3Fv7V3LPS14,Q,C4,C4,C0,C5,C4,C0,0,2,0,3,3,4
Fc0C1Fc1C3Fv7V3LPS15,Q,C0,C6,C4,C0,C7,C3,3,3,0,0,0,6
Fc0C1Fc1C3Fv8V1LQS3,T,C0,C8,C0,C0,C7,C0,3,1,0,0,0,3
Fc0C1Fc1C3Fv8V1LQS4,P,C0,C0,C2,C6,C3,C0,0,0,1,0,0,7
Fc0C1Fc1C3Fv8V1LQS5,V,C0,C6,C0,C0,C0,C0,1,0,2,2,4,0
Fc0C1Fc1C3Fv8V1LQS6,S,C0,C4,C0,C0,C5,C3,0,2,0,4,1,0
Fc0C1Fc1C3Fv8V1LQS7,P,C4,C0,C3,C0,C3,C1,4,2,1,1,1,10
Fc0C1Fc1C3Fv8V1LQS8,R,C0,C0,C0,C0,C0,C0,1,0,1,5,7,2
Fc0C1Fc1C3Fv8V1LQS9,S,C8,C0,C1,C0,C0,C0,0,0,0,5,0,0
Fc0C1Fc1C3Fv8V1LQS10,P,C3,C2,C4,C3,C0,C0,1,4,0,0,6,1
Fc0C1Fc1C3Fv8V1LQS12,P,C1,C0,C1,C0,C0,C1,0,0,1,4,0,0
Fc0C1Fc1C3Fv8V1LQS13,P,C2,C3,C6,C2,C0,C4,0,1,1,0,2,4
Fc0C1Fc1C3Fv8V1LQS14,S,C0,C7,C0,C3,C4,C1,8,4,0,0,0,0
Fc0C1Fc1C3Fv8V2LRS4,R,C1,C7,C0,C1,C0,C2,6,0,2,0,0,0
Fc0C1Fc1C3Fv8V2LRS5,Q,C3,C3,C0,C1,C0,C5,1,8,1,0,0,0
Fc0C1Fc1C3Fv8V2LRS6,P,C5,C0,C0,C0,C0,C5,0,0,0,1,3,9
Fc0C1Fc1C3Fv8V2LRS7,Q,C0,C6,C2,C9,C0,C5,2,0,4,0,0,3
Fc0C1Fc1C3Fv8V2LRS8,Q,C0,C0,C1,C1,C9,C8,0,0,2,3,0,0
Fc0C1Fc1C3Fv8V2LRS9,T,C0,C0,C0,C3,C7,C9,2,0,0,4,0,0
Fc0C1Fc1C3Fv8V2LRS10,R,C5,C4,C0,C6,C4,C0,3,2,2,0,1,1
Fc0C1Fc1C3Fv8V2LRS11,V,C3,C1,C3,C0,C0,C0,1,0,1,4,7,6
Fc0C1Fc1C3Fv8V2LRS12,R,C9,C0,C6,C3,C7,C0,0,0,1,5,1,0
Fc0C1Fc1C3Fv8V2LRS13,S,C0,C5,C9,C0,C1,C0,0,1,1,1,0,3
Fc0C1Fc1C3Fv8V2LRS14,P,C0,C0,C1,C0,C0,C0,0,1,2,4,2,0
Fc0C1Fc1C3Fv8V2LRS15,P,C0,C7,C0,C0,C5,C6,6,0,2,0,5,7
Fc0C1Fc1C3Fv8V3LPS3,P,C4,C6,C5,C0,C2,C5,0,4,1,6,0,0
Fc0C1Fc1C3Fv8V3LPS4,Q,C9,C7,C1,C0,C0,C6,2,1,2,3,6,0
Fc0C1Fc1C3Fv8V3LPS5,P,C1,C0,C2,C4,C5,C7,0,4,2,0,2,2
Fc0C1Fc1C3Fv8V3LPS6,T,C5,C0,C0,C0,C6,C0,0,0,2,0,0,9
Fc0C1Fc1C3Fv8V3LPS7,Q,C0,C0,C8,C1,C4,C0,0,6,2,2,4,3
Fc0C1Fc1C3Fv8V3LPS8,P,C0,C0,C8,C0,C1,C0,0,0,2,0,0,7
Fc0C1Fc1C3Fv8V3LPS9,S,C3,C0,C4,C3,C0,C0,0,4,1,0,6,3
Fc0C1Fc1C3Fv8V3LPS10,V,C6,C0,C3,C0,C3,C8,0,0,3,0,0,0
Fc0C1Fc1C3Fv8V3LPS11,S,C0,C4,C1,C0,C2,C0,6,0,2,0,0,5
Fc0C1Fc1C3Fv8V3LPS12,P,C9,C8,C5,C8,C8,C0,3,0,2,0,0,0
Fc0C1Fc1C3Fv8V3LPS13,R,C0,C7,C1,C3,C0,C0,1,0,2,0,0,6
Fc0C1Fc1C3Fv8V3LPS14,T,C0,C1,C5,C7,C0,C7,1,2,2,7,3,5
Fc0C1Fc1C3Fv8V3LPS15,P,C0,C2,C8,C0,C2,C2,2,2,3,3,2,3
Fc0C1Fc1C3Fv9V1LQS3,V,C0,C3,C3,C0,C0,C1,1,0,0,1,6,0
Fc0C1Fc1C3Fv9V1LQS4,P,C0,C0,C8,C0,C0,C1,0,2,0,0,2,4
Fc0C1Fc1C3Fv9V1LQS5,P,C7,C0,C1,C7,C1,C5,1,3,0,0,2,0
Fc0C1Fc1C3Fv9V1LQS6,S,C0,C1,C6,C1,C0,C0,0,0,0,0,0,0
Fc0C1Fc1C3Fv9V1LQS7,V,C0,C0,C1,C8,C1,C0,6,1,8,0,0,0
Fc0C1Fc1C3Fv9V1LQS8,V,C0,C1,C1,C0,C0,C6,0,1,0,1,0,7
Fc0C1Fc1C3Fv9V1LQS9,R,C3,C6,C1,C0,C7,C5,0,3,6,1,0,1
Fc0C1Fc1C3Fv9V1LQS10,Q,C0,C0,C9,C9,C5,C2,0,1,1,0,3,0
Fc0C1Fc1C3Fv9V1LQS11,R,C3,C3,C1,C3,C0,C0,0,0,0,0,0,0
Fc0C1Fc1C3Fv9V1LQS12,Q,C5,C4,C0,C1,C8,C0,0,7,3,3,3,1
Fc0C1Fc1C3Fv9V1LQS13,S,C8,C1,C9,C0,C0,C2,0,0,0,1,1,7
Fc0C1Fc1C3Fv9V1LQS14,P,C6,C4,C0,C9,C9,C9,0,0,9,0,0,0
Fc0C1Fc1C3Fv9V1LQS15,S,C0,C0,C8,C0,C1,C7,4,0,2,0,0,3
Fc0C1Fc1C3Fv9V2LPS3,P,C3,C0,C0,C0,C5,C5,0,0,3,1,3,6
Fc0C1Fc1C3Fv9V2LPS4,S,C0,C7,C7,C5,C0,C0,5,0,1,2,2,4
Fc0C1Fc1C3Fv9V2LPS5,P,C0,C4,C0,C2,C0,C0,5,0,3,0,0,3
Fc0C1Fc1C3Fv9V2LPS7,P,C6,C6,C1,C0,C2,C8,5,0,6,1,0,0
Fc0C1Fc1C3Fv9V2LPS8,V,C4,C4,C0,C3,C5,C5,0,0,0,2,0,0
Fc0C1Fc1C3Fv9V2LPS9,Q,C4,C9,C0,C4,C1,C8,6,0,0,2,0,4
Fc0C1Fc1C3Fv9V2LPS10,Q,C5,C4,C0,C0,C9,C5,0,0,0,2,0,4
Fc0C1Fc1C3Fv9V2LPS11,P,C4,C3,C5,C0,C4,C0,1,6,1,1,4,0
Fc0C1Fc1C3Fv9V2LPS13,P,C0,C7,C1,C9,C0,C0,0,3,0,2,0,0
Fc0C1Fc1C3Fv9V2LPS14,Q,C0,C0,C4,C0,C0,C0,0,0,0,1,0,0
Fc0C1Fc1C3Fv9V2LPS15,P,C6,C1,C4,C0,C0,C0,2,5,0,1,5,0
Fc0C1Fc1C3Fv9V3LVS3,V,C1,C0,C5,C0,C3,C4,0,1,5,2,5,1
Fc0C1Fc1C3Fv9V3LVS4,T,C0,C0,C3,C5,C3,C0,6,3,1,2,0,0
Fc0C1Fc1C3Fv9V3LVS7,S,C0,C1,C2,C0,C8,C0,6,3,0,2,0,0
Fc0C1Fc1C3Fv9V3LVS8,S,C5,C5,C0,C3,C2,C1,0,3,3,2,7,0
Fc0C1Fc1C3Fv9V3LVS9,P,C0,C4,C9,C0,C1,C1,0,0,0,2,1,0
Fc0C1Fc1C3Fv9V3LVS11,R,C0,C3,C1,C0,C3,C9,3,0,7,2,0,0
Fc0C1Fc1C3Fv9V3LVS13,P,C2,C0,C0,C4,C0,C0,0,0,4,2,1,4
Fc0C1Fc1C3Fv9V3LVS14,P,C0,C0,C0,C0,C0,C1,0,0,0,2,0,4
Fc0C1Fc1C3Fv9V3LVS15,T,C5,C1,C0,C2,C0,C2,4,8,0,3,7,0
Fc0C1Fc1C3Fv10V1LPS3,P,C0,C9,C6,C0,C0,C5,6,0,0,4,1,0
Fc0C1Fc1C3Fv10V1LPS4,R,C2,C0,C2,C4,C5,C1,6,0,5,0,0,6
Fc0C1Fc1C3Fv10V1LPS5,P,C0,C0,C3,C5,C0,C0,3,3,0,1,0,0
Fc0C1Fc1C3Fv10V1LPS6,T,C5,C0,C1,C6,C9,C4,0,2,0,9,1,1
Fc0C1Fc1C3Fv10V1LPS8,Q,C0,C5,C0,C2,C0,C6,2,6,0,4,2,7
Fc0C1Fc1C3Fv10V1LPS9,S,C8,C0,C3,C0,C8,C0,2,4,0,6,0,0
Fc0C1Fc1C3Fv10V1LPS10,R,C0,C2,C0,C0,C0,C3,0,0,8,3,1,1
Fc0C1Fc1C3Fv10V1LPS11,P,C0,C5,C4,C3,C0,C0,1,3,3,3,0,0
Fc0C1Fc1C3Fv10V1LPS12,V,C0,C0,C0,C0,C3,C0,4,0,2,0,0,0
Fc0C1Fc1C3Fv10V1LPS13,Q,C3,C0,C0,C2,C2,C0,3,1,5,0,0,7
Fc0C1Fc1C3Fv10V1LPS14,Q,C5,C7,C0,C0,C2,C9,2,1,4,0,1,1
Fc0C1Fc1C3Fv10V1LPS15,T,C1,C0,C2,C0,C3,C1,4,4,1,0,0,1
Fc0C1Fc1C3Fv10V2LQS3,R,C5,C0,C0,C9,C0,C0,7,0,0,0,2,0
Fc0C1Fc1C3Fv10V2LQS5,P,C7,C2,C2,C0,C2,C0,0,1,0,4,1,0
Fc0C1Fc1C3Fv10V2LQS6,T,C0,C3,C1,C1,C0,C1,0,4,3,6,1,0
Fc0C1Fc1C3Fv10V2LQS7,P,C9,C0,C0,C7,C1,C4,0,8,0,0,1,0
Fc0C1Fc1C3Fv10V2LQS8,S,C5,C0,C0,C0,C0,C7,5,1,0,4,2,0
Fc0C1Fc1C3Fv10V2LQS9,P,C5,C0,C2,C0,C0,C4,0,2,1,8,2,9
Fc0C1Fc1C3Fv10V2LQS10,P,C2,C2,C7,C0,C5,C0,0,0,0,0,2,0
Fc0C1Fc1C3Fv10V2LQS11,S,C2,C2,C9,C3,C4,C0,0,2,1,3,1,2
Fc0C1Fc1C3Fv10V2LQS12,T,C6,C8,C2,C0,C0,C0,5,6,2,3,2,0
Fc0C1Fc1C3Fv10V2LQS13,V,C3,C4,C0,C0,C3,C4,0,0,0,0,2,0
Fc0C1Fc1C3Fv10V2LQS14,Q,C0,C0,C0,C3,C0,C0,5,1,0,0,1,0
Fc0C1Fc1C3Fv10V2LQS15,Q,C7,C3,C3,C9,C1,C1,5,0,4,7,0,5
Fc0C1Fc1C3Fv10V3LRS3,P,C2,C2,C0,C0,C1,C9,0,5,1,3,3,0
Fc0C1Fc1C3Fv10V3LRS4,Q,C1,C0,C3,C0,C6,C0,3,5,1,0,3,4
Fc0C1Fc1C3Fv10V3LRS5,T,C0,C0,C0,C2,C2,C0,0,2,1,4,2,3
Fc0C1Fc1C3Fv10V3LRS6,S,C3,C2,C9,C0,C0,C0,5,0,0,4,0,2
Fc0C1Fc1C3Fv10V3LRS7,P,C1,C0,C7,C7,C0,C0,7,3,5,2,1,1
Fc0C1Fc1C3Fv10V3LRS8,R,C1,C0,C6,C0,C4,C0,0,0,0,0,3,0
Fc0C1Fc1C3Fv10V3LRS10,P,C8,C0,C5,C0,C0,C0,0,0,0,0,2,4
Fc0C1Fc1C3Fv10V3LRS11,V,C9,C0,C1,C8,C1,C3,0,5,1,3,3,4
Fc0C1Fc1C3Fv10V3LRS12,Q,C0,C3,C2,C0,C7,C5,0,0,4,6,3,6
Fc0C1Fc1C3Fv10V3LRS13,V,C2,C2,C0,C0,C0,C0,0,1,9,3,2,0
Fc0C1Fc1C3Fv10V3LRS14,V,C2,C0,C4,C0,C1,C9,0,0,8,1,2,1
Fc0C1Fc1C3Fv10V3LRS15,P,C3,C4,C0,C0,C0,C3,6,0,7,3,3,0
Fc0C1Fc1C3Fv11V1LSS3,P,C1,C0,C0,C1,C4,C0,0,0,0,0,5,2
Fc0C1Fc1C3Fv11V1LSS4,P,C0,C0,C9,C4,C5,C4,0,0,0,4,5,2
Fc0C1Fc1C3Fv11V1LSS5,P,C6,C0,C0,C0,C0,C4,0,0,0,0,0,0
Fc0C1Fc1C3Fv11V1LSS6,P,C0,C3,C7,C6,C0,C4,0,0,3,3,0,1
Fc0C1Fc1C3Fv11V1LSS7,P,C0,C5,C0,C5,C0,C9,0,0,0,0,0,1
Fc0C1Fc1C3Fv11V1LSS8,S,C0,C6,C0,C2,C5,C1,0,0,4,1,5,0
Fc0C1Fc1C3Fv11V1LSS9,R,C5,C5,C0,C2,C0,C1,0,4,0,6,1,0
Fc0C1Fc1C3Fv11V1LSS10,P,C6,C3,C0,C0,C2,C4,5,0,7,0,0,0
Fc0C1Fc1C3Fv11V1LSS11,P,C0,C0,C0,C0,C0,C0,0,0,0,0,8,0
Fc0C1Fc1C3Fv11V1LSS12,P,C1,C0,C4,C2,C3,C8,0,2,4,4,3,3
Fc0C1Fc1C3Fv11V1LSS13,P,C0,C2,C0,C2,C0,C0,0,3,0,5,1,0
Fc0C1Fc1C3Fv11V1LSS14,T,C8,C0,C7,C0,C5,C8,6,0,0,0,0,1
Fc0C1Fc1C3Fv11V1LSS15,R,C3,C7,C5,C0,C0,C8,0,5,0,0,6,1
Fc0C1Fc1C3Fv11V2LTS3,Q,C4,C6,C5,C0,C0,C2,5,0,0,0,0,2
Fc0C1Fc1C3Fv11V2LTS4,V,C3,C0,C0,C2,C3,C0,6,0,0,0,1,1
Fc0C1Fc1C3Fv11V2LTS5,P,C2,C0,C2,C3,C4,C0,3,0,0,0,0,1
Fc0C1Fc1C3Fv11V2LTS6,R,C4,C0,C8,C1,C0,C6,0,1,0,0,5,2
Fc0C1Fc1C3Fv11V2LTS7,P,C0,C4,C0,C6,C0,C3,0,2,0,3,1,1
Fc0C1Fc1C3Fv11V2LTS8,Q,C0,C0,C2,C0,C6,C2,0,8,1,1,3,2
Fc0C1Fc1C3Fv11V2LTS9,V,C0,C0,C3,C3,C6,C3,3,4,6,1,3,3
Fc0C1Fc1C3Fv11V2LTS10,P,C0,C0,C3,C0,C7,C0,0,7,0,0,0,2
Fc0C1Fc1C3Fv11V2LTS11,P,C2,C1,C3,C8,C9,C0,0,8,0,1,4,1
Fc0C1Fc1C3Fv11V2LTS12,Q,C7,C6,C9,C9,C3,C0,3,0,9,0,0,1
Fc0C1Fc1C3Fv11V2LTS13,Q,C0,C2,C0,C9,C0,C0,0,4,0,2,7,1
Fc0C1Fc1C3Fv11V2LTS14,R,C4,C6,C8,C1,C2,C5,0,2,3,0,0,1
Fc0C1Fc1C3Fv11V2LTS15,V,C0,C3,C0,C0,C7,C3,0,0,3,5,1,1
Fc0C1Fc1C3Fv11V3LVS3,R,C3,C0,C2,C2,C5,C5,0,0,0,0,0,2
Fc0C1Fc1C3Fv11V3LVS4,P,C5,C7,C2,C0,C3,C1,4,2,0,0,0,2
Fc0C1Fc1C3Fv11V3LVS5,P,C4,C0,C0,C5,C0,C0,0,7,3,1,5,2
Fc0C1Fc1C3Fv11V3LVS6,S,C0,C3,C0,C8,C1,C9,2,4,2,5,2,2
Fc0C1Fc1C3Fv11V3LVS7,P,C3,C0,C7,C4,C0,C0,0,3,3,6,0,2
Fc0C1Fc1C3Fv11V3LVS8,Q,C0,C0,C0,C0,C5,C3,0,3,0,0,0,3
Fc0C1Fc1C3Fv11V3LVS9,T,C0,C4,C0,C1,C5,C1,0,0,0,0,0,3
Fc0C1Fc1C3Fv11V3LVS10,P,C0,C4,C2,C7,C0,C1,1,3,0,1,0,2
Fc0C1Fc1C3Fv11V3LVS11,P,C7,C5,C0,C9,C0,C8,5,0,4,3,0,5
Fc0C1Fc1C3Fv11V3LVS12,R,C2,C7,C2,C3,C0,C2,1,3,9,0,1,2
Fc0C1Fc1C3Fv11V3LVS13,P,C0,C2,C0,C2,C3,C2,3,1,1,2,0,2
Fc0C1Fc1C3Fv11V3LVS14,T,C0,C2,C0,C7,C5,C6,0,2,0,0,5,4
Fc0C1Fc1C3Fv11V3LVS15,T,C3,C0,C0,C2,C0,C0,5,3,0,7,0,2
Fc0C1Fc2C1LPS3,R,C0,C7,C9,C8,C1,C6,1,0,9,8,0,0
Fc0C1Fc2C1LPS4,R,C2,C0,C0,C4,C2,C0,4,0,3,0,0,0
Fc0C1Fc2C1LPS5,S,C2,C6,C1,C0,C0,C3,3,0,8,0,0,3
Fc0C1Fc2C1LPS6,S,C0,C4,C2,C9,C8,C1,6,3,8,0,0,1
Fc0C1Fc2C1LPS7,T,C0,C0,C1,C6,C3,C2,8,2,0,0,0,2
Fc0C1Fc2C1LPS9,Q,C1,C3,C2,C6,C0,C5,4,0,6,0,0,0
Fc0C1Fc2C1LPS10,R,C0,C1,C5,C1,C1,C0,0,6,0,1,6,0
Fc0C1Fc2C1LPS11,T,C1,C0,C0,C2,C3,C4,0,0,4,0,0,0
Fc0C1Fc2C1LPS12,P,C0,C7,C7,C6,C0,C0,6,5,3,0,0,5
Fc0C1Fc2C1LPS13,P,C3,C0,C2,C9,C0,C0,8,5,7,0,0,0
Fc0C1Fc2C1LPS15,P,C4,C0,C1,C0,C0,C0,0,0,9,0,0,0
Fc0C1Fc2C1Fc3C1LQS3,T,C3,C0,C0,C0,C0,C0,0,4,0,0,4,0
Fc0C1Fc2C1Fc3C1LQS4,Q,C4,C0,C3,C0,C0,C0,0,0,0,0,0,5
Fc0C1Fc2C1Fc3C1LQS5,S,C9,C1,C1,C0,C1,C0,0,0,6,0,0,0
Fc0C1Fc2C1Fc3C1LQS6,R,C0,C1,C3,C4,C2,C8,2,0,1,0,0,4
Fc0C1Fc2C1Fc3C1LQS7,Q,C3,C1,C0,C2,C7,C3,6,2,2,1,0,7
Fc0C1Fc2C1Fc3C1LQS8,S,C0,C0,C0,C7,C9,C2,0,4,3,0,1,4
Fc0C1Fc2C1Fc3C1LQS9,R,C2,C0,C3,C2,C3,C2,0,0,3,0,0,0
Fc0C1Fc2C1Fc3C1LQS10,Q,C7,C2,C4,C0,C7,C1,0,2,0,1,6,6
Fc0C1Fc2C1Fc3C1LQS11,T,C3,C6,C9,C7,C1,C0,1,0,5,0,0,0
Fc0C1Fc2C1Fc3C1LQS12,P,C1,C0,C8,C1,C0,C2,2,0,0,2,0,3
Fc0C1Fc2C1Fc3C1LQS13,Q,C7,C0,C0,C0,C0,C1,0,3,5,1,0,0
Fc0C1Fc2C1Fc3C1LQS14,T,C3,C1,C3,C9,C0,C5,5,0,0,0,0,0
Fc0C1Fc2C1Fc3C1LQS15,V,C0,C2,C0,C2,C0,C6,8,2,4,0,3,0
Fc0C1Fc2C1Fc3C2LRS3,R,C0,C6,C0,C3,C5,C8,6,0,0,0,4,0
Fc0C1Fc2C1Fc3C2LRS4,R,C1,C1,C6,C2,C0,C1,3,3,1,5,8,0
Fc0C1Fc2C1Fc3C2LRS5,S,C5,C0,C2,C1,C0,C8,1,3,0,2,2,4
Fc0C1Fc2C1Fc3C2LRS6,R,C2,C3,C7,C9,C5,C1,4,3,7,2,0,8
Fc0C1Fc2C1Fc3C2LRS7,Q,C0,C2,C6,C3,C0,C0,3,4,0,6,0,0
Fc0C1Fc2C1Fc3C2LRS8,P,C1,C7,C3,C0,C5,C8,9,0,0,5,0,0
Fc0C1Fc2C1Fc3C2LRS10,Q,C0,C0,C0,C0,C1,C3,3,5,2,2,2,0
Fc0C1Fc2C1Fc3C2LRS11,P,C3,C0,C0,C0,C0,C1,0,8,0,0,0,0
Fc0C1Fc2C1Fc3C2LRS12,R,C1,C4,C2,C2,C9,C2,0,2,8,4,1,0
Fc0C1Fc2C1Fc3C2LRS13,R,C0,C0,C1,C2,C3,C5,3,4,0,4,3,0
Fc0C1Fc2C1Fc3C2LRS14,Q,C1,C2,C4,C9,C0,C0,0,0,0,0,3,0
Fc0C1Fc2C1Fc3C2LRS15,V,C3,C3,C0,C0,C0,C2,0,0,2,3,2,3
Fc0C1Fc2C1Fc3C3LSS3,T,C1,C3,C0,C3,C1,C1,9,0,0,0,0,0
Fc0C1Fc2C1Fc3C3LSS4,R,C8,C2,C0,C0,C0,C1,0,0,3,0,0,0
Fc0C1Fc2C1Fc3C3LSS5,Q,C1,C0,C1,C0,C3,C0,6,5,1,2,0,0
Fc0C1Fc2C1Fc3C3LSS6,T,C3,C0,C0,C9,C4,C7,0,4,0,5,5,0
Fc0C1Fc2C1Fc3C3LSS7,V,C0,C0,C1,C9,C2,C3,0,6,0,0,2,9
Fc0C1Fc2C1Fc3C3LSS8,V,C0,C3,C3,C2,C0,C0,1,1,5,2,1,4
Fc0C1Fc2C1Fc3C3LSS9,V,C2,C4,C1,C2,C6,C4,5,5,0,4,5,0
Fc0C1Fc2C1Fc3C3LSS10,R,C2,C1,C0,C0,C3,C3,0,0,7,0,0,4
Fc0C1Fc2C1Fc3C3LSS11,S,C3,C2,C0,C0,C1,C2,0,0,0,5,2,1
Fc0C1Fc2C1Fc3C3LSS12,V,C1,C0,C0,C6,C1,C6,0,6,0,0,3,4
Fc0C1Fc2C1Fc3C3LSS13,Q,C9,C3,C1,C3,C2,C5,5,0,0,5,0,1
Fc0C1Fc2C1Fc3C3LSS14,R,C3,C2,C0,C0,C7,C7,0,6,4,0,0,0
Fc0C1Fc2C1Fc3C3LSS15,S,C6,C0,C1,C0,C0,C5,2,1,1,0,4,1
Fc0C1Fc2C1Fc4C1LTS3,T,C0,C5,C1,C0,C8,C0,0,2,6,3,2,0
Fc0C1Fc2C1Fc4C1LTS4,R,C2,C0,C0,C9,C3,C0,6,0,5,0,0,4
Fc0C1Fc2C1Fc4C1LTS5,R,C1,C0,C3,C3,C1,C3,9,0,0,0,0,0
Fc0C1Fc2C1Fc4C1LTS6,Q,C0,C4,C1,C5,C2,C0,2,7,5,9,0,1
Fc0C1Fc2C1Fc4C1LTS7,P,C2,C6,C3,C0,C0,C9,1,5,4,3,0,3
Fc0C1Fc2C1Fc4C1LTS8,P,C2,C0,C6,C9,C2,C0,2,2,5,5,4,0
Fc0C1Fc2C1Fc4C1LTS9,R,C3,C0,C7,C1,C0,C7,0,0,0,0,0,0
Fc0C1Fc2C1Fc4C1LTS10,P,C0,C4,C0,C3,C3,C0,0,1,0,9,1,0
Fc0C1Fc2C1Fc4C1LTS11,Q,C1,C9,C9,C8,C0,C0,4,0,3,0,0,0
Fc0C1Fc2C1Fc4C1LTS12,P,C1,C0,C8,C3,C4,C3,0,5,0,5,1,1
Fc0C1Fc2C1Fc4C1LTS13,P,C2,C0,C3,C3,C5,C1,0,6,0,0,0,0
Fc0C1Fc2C1Fc4C1LTS15,R,C1,C3,C3,C0,C5,C2,1,0,6,5,1,0
Fc0C1Fc2C1Fc4C2LPS3,R,C3,C2,C2,C1,C0,C0,1,1,2,4,5,0
Fc0C1Fc2C1Fc4C2LPS4,S,C6,C0,C0,C3,C1,C2,0,3,3,3,7,0
Fc0C1Fc2C1Fc4C2LPS5,Q,C0,C5,C0,C6,C0,C1,0,0,5,0,0,5
Fc0C1Fc2C1Fc4C2LPS6,Q,C1,C0,C2,C0,C0,C0,2,3,1,4,2,0
Fc0C1Fc2C1Fc4C2LPS7,P,C2,C2,C3,C2,C9,C4,0,3,6,4,7,0
Fc0C1Fc2C1Fc4C2LPS8,R,C0,C0,C0,C3,C3,C2,0,4,5,3,4,9
Fc0C1Fc2C1Fc4C2LPS9,V,C6,C2,C0,C2,C2,C1,0,0,0,0,3,7
Fc0C1Fc2C1Fc4C2LPS10,T,C2,C0,C0,C9,C4,C0,1,0,8,4,7,0
Fc0C1Fc2C1Fc4C2LPS11,P,C7,C2,C3,C2,C5,C0,0,2,6,1,7,0
Fc0C1Fc2C1Fc4C2LPS12,P,C0,C2,C4,C6,C6,C2,0,5,0,3,6,0
Fc0C1Fc2C1Fc4C2LPS13,S,C3,C5,C9,C6,C1,C0,0,0,7,0,0,6
Fc0C1Fc2C1Fc4C2LPS14,Q,C2,C1,C0,C0,C8,C4,0,5,0,9,6,4
