sample,label,Fc0,Fc1,Fc2,Fc3,Fv4,Fv5,Fv6,Fv7
Fc0C2Fc3C3Fv6V1LPS24,R,C1,C3,C0,C0,0,7,0,0
Fc0C2Fc3C3Fv6V1LPS26,P,C0,C0,C0,C1,0,0,1,0
Fc0C2Fc3C3Fv6V1LPS27,P,C3,C0,C2,C0,0,0,0,0
Fc0C2Fc3C3Fv6V1LPS28,Q,C0,C1,C0,C0,7,0,1,0
Fc0C2Fc3C3Fv6V1LPS29,R,C1,C0,C8,C1,0,0,1,0
Fc0C2Fc3C3Fv6V1LPS30,Q,C3,C1,C0,C1,0,0,0,0
Fc0C2Fc3C3Fv6V1LPS31,P,C3,C3,C0,C0,0,0,1,0
Fc0C2Fc3C3Fv6V1LPS32,Q,C3,C2,C5,C0,0,0,0,0
Fc0C2Fc3C3Fv6V1LPS33,R,C3,C0,C0,C2,0,0,1,6
Fc0C2Fc3C3Fv6V1LPS34,P,C0,C0,C0,C1,0,0,0,0
Fc0C2Fc3C3Fv6V1LPS35,P,C0,C0,C2,C0,0,0,0,0
Fc0C2Fc3C3Fv6V1LPS36,Q,C0,C1,C1,C3,0,5,0,0
Fc0C2Fc3C3Fv6V1LPS37,P,C3,C1,C0,C0,0,0,0,0
Fc0C2Fc3C3Fv6V1LPS38,Q,C4,C1,C0,C1,0,0,1,0
Fc0C2Fc3C3Fv6V1LPS39,P,C0,C1,C0,C0,0,0,1,0
Fc0C2Fc3C3Fv6V1LPS40,P,C0,C1,C0,C2,0,0,1,0
Fc0C2Fc3C3Fv6V1LPS41,P,C0,C2,C2,C0,0,0,0,0
Fc0C2Fc3C3Fv6V1LPS43,P,C0,C2,C2,C1,6,0,0,0
Fc0C2Fc3C3Fv6V1LPS44,P,C3,C2,C0,C0,0,0,1,0
Fc0C2Fc3C3Fv6V1LPS45,Q,C0,C0,C0,C0,0,0,1,7
Fc0C2Fc3C3Fv6V1LPS46,Q,C0,C3,C0,C0,0,0,0,7
Fc0C2Fc3C3Fv6V1LPS47,Q,C1,C0,C1,C2,0,5,0,0
Fc0C2Fc3C3Fv6V1LPS48,P,C1,C2,C0,C6,0,5,0,0
Fc0C2Fc3C3Fv6V1LPS49,P,C0,C0,C1,C0,0,0,1,0
Fc0C2Fc3C3Fv6V1LPS50,Q,C6,C0,C0,C0,2,0,1,3
Fc0C2Fc3C3Fv6V1LPS51,R,C2,C0,C0,C3,0,0,0,3
Fc0C2Fc3C3Fv6V1LPS53,Q,C2,C0,C0,C1,0,0,1,8
Fc0C2Fc3C3Fv6V1LPS54,P,C2,C3,C2,C0,0,0,1,7
Fc0C2Fc3C3Fv6V1LPS55,P,C3,C1,C0,C0,0,0,1,0
Fc0C2Fc3C3Fv6V1LPS57,P,C1,C0,C0,C0,0,0,1,0
Fc0C2Fc3C3Fv6V1LPS58,Q,C0,C0,C0,C2,0,0,0,0
Fc0C2Fc3C3Fv6V1LPS59,S,C1,C0,C0,C3,0,0,0,0
Fc0C2Fc3C3Fv6V1LPS60,P,C0,C3,C8,C6,0,0,1,0
Fc0C2Fc3C3Fv6V1LPS61,R,C0,C1,C0,C0,0,7,1,0
Fc0C2Fc3C3Fv6V1LPS62,P,C1,C0,C0,C0,0,6,1,0
Fc0C2Fc3C3Fv6V1LPS63,P,C0,C1,C2,C1,0,0,1,0
Fc0C2Fc3C3Fv6V2LVS15,R,C2,C0,C0,C0,0,0,1,4
Fc0C2Fc3C3Fv6V2LVS16,R,C0,C1,C0,C1,0,0,2,0
Fc0C2Fc3C3Fv6V2LVS17,Q,C0,C0,C2,C0,0,0,1,0
Fc0C2Fc3C3Fv6V2LVS18,Q,C3,C0,C0,C3,0,0,2,4
Fc0C2Fc3C3Fv6V2LVS19,Q,C0,C0,C0,C1,7,0,1,0
Fc0C2Fc3C3Fv6V2LVS20,V,C0,C0,C0,C2,0,0,1,0
Fc0C2Fc3C3Fv6V2LVS21,Q,C2,C1,C0,C2,0,0,1,8
Fc0C2Fc3C3Fv6V2LVS23,Q,C1,C1,C2,C1,0,5,1,0
Fc0C2Fc3C3Fv6V2LVS24,Q,C0,C0,C0,C2,0,0,1,0
Fc0C2Fc3C3Fv6V2LVS25,R,C4,C2,C0,C9,0,4,2,0
Fc0C2Fc3C3Fv6V2LVS26,P,C0,C0,C0,C0,0,0,2,0
Fc0C2Fc3C3Fv6V2LVS27,V,C0,C1,C0,C0,0,7,2,0
Fc0C2Fc3C3Fv6V2LVS28,V,C2,C1,C0,C2,0,0,2,0
Fc0C2Fc3C3Fv6V2LVS29,P,C0,C0,C0,C2,0,0,1,6
Fc0C2Fc3C3Fv6V2LVS30,V,C0,C1,C1,C0,0,5,3,1
Fc0C2Fc3C3Fv6V2LVS31,V,C0,C0,C0,C2,0,0,1,0
Fc0C2Fc3C3Fv6V2LVS32,P,C1,C0,C3,C1,9,0,2,0
Fc0C2Fc3C3Fv6V2LVS33,P,C3,C2,C1,C2,0,0,1,5
Fc0C2Fc3C3Fv6V2LVS35,V,C3,C0,C0,C3,0,0,1,0
Fc0C2Fc3C3Fv6V2LVS36,Q,C3,C2,C0,C0,0,0,1,6
Fc0C2Fc3C3Fv6V2LVS39,V,C2,C1,C0,C2,0,0,1,0
Fc0C2Fc3C3Fv6V2LVS40,R,C3,C0,C2,C1,0,0,2,0
Fc0C2Fc3C3Fv6V2LVS41,R,C2,C0,C0,C0,0,0,1,0
Fc0C2Fc3C3Fv6V2LVS42,Q,C0,C0,C3,C0,0,0,1,0
Fc0C2Fc3C3Fv6V2LVS43,T,C0,C2,C0,C1,0,0,1,8
Fc0C2Fc3C3Fv6V2LVS44,R,C3,C0,C0,C2,0,0,1,3
Fc0C2Fc3C3Fv6V2LVS45,P,C0,C2,C0,C0,7,0,1,0
Fc0C2Fc3C3Fv6V2LVS47,R,C2,C8,C0,C0,0,0,2,0
Fc0C2Fc3C3Fv6V2LVS48,V,C0,C0,C0,C3,0,0,2,0
Fc0C2Fc3C3Fv6V2LVS49,R,C6,C2,C3,C1,0,0,1,4
Fc0C2Fc3C3Fv6V2LVS51,Q,C1,C1,C9,C0,7,0,1,0
Fc0C2Fc3C3Fv6V2LVS52,V,C2,C2,C0,C0,0,0,2,0
Fc0C2Fc3C3Fv6V2LVS55,Q,C1,C0,C3,C0,0,8,1,0
Fc0C2Fc3C3Fv6V2LVS56,P,C0,C2,C1,C3,6,0,1,0
Fc0C2Fc3C3Fv6V2LVS57,P,C2,C2,C0,C4,0,0,2,5
Fc0C2Fc3C3Fv6V2LVS58,R,C1,C0,C2,C0,0,0,2,0
Fc0C2Fc3C3Fv6V2LVS59,R,C0,C0,C1,C2,0,5,2,0
Fc0C2Fc3C3Fv6V2LVS61,P,C2,C2,C0,C0,0,0,1,0
Fc0C2Fc3C3Fv6V2LVS62,R,C3,C0,C0,C1,0,0,1,0
Fc0C2Fc3C3Fv6V2LVS63,Q,C3,C0,C8,C6,0,0,2,0
Fc0C2Fc3C3Fv6V3LPS15,P,C3,C0,C3,C0,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS16,V,C0,C0,C0,C2,8,0,3,0
Fc0C2Fc3C3Fv6V3LPS17,V,C1,C0,C9,C0,3,0,2,0
Fc0C2Fc3C3Fv6V3LPS18,P,C2,C1,C0,C1,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS19,P,C2,C9,C3,C0,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS20,T,C4,C0,C7,C0,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS21,R,C0,C1,C3,C0,6,0,3,0
Fc0C2Fc3C3Fv6V3LPS22,Q,C0,C5,C3,C0,0,0,2,0
Fc0C2Fc3C3Fv6V3LPS23,Q,C3,C6,C1,C1,0,0,3,5
Fc0C2Fc3C3Fv6V3LPS24,P,C1,C0,C0,C2,0,0,2,0
Fc0C2Fc3C3Fv6V3LPS25,P,C0,C3,C1,C2,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS26,P,C0,C2,C2,C2,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS27,T,C2,C0,C3,C3,7,0,3,0
Fc0C2Fc3C3Fv6V3LPS28,P,C3,C0,C0,C0,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS29,P,C0,C0,C0,C3,0,0,3,3
Fc0C2Fc3C3Fv6V3LPS30,T,C9,C1,C0,C2,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS31,R,C0,C0,C0,C1,0,5,3,0
Fc0C2Fc3C3Fv6V3LPS32,P,C3,C0,C1,C0,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS33,P,C0,C0,C3,C2,0,0,2,0
Fc0C2Fc3C3Fv6V3LPS34,P,C2,C0,C0,C2,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS36,P,C2,C1,C2,C1,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS37,P,C0,C3,C0,C0,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS38,P,C2,C0,C3,C1,7,0,3,0
Fc0C2Fc3C3Fv6V3LPS39,V,C0,C3,C0,C0,7,0,3,0
Fc0C2Fc3C3Fv6V3LPS40,P,C0,C0,C0,C3,0,0,2,8
Fc0C2Fc3C3Fv6V3LPS41,R,C1,C2,C2,C2,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS42,R,C2,C0,C2,C0,0,0,2,0
Fc0C2Fc3C3Fv6V3LPS43,P,C0,C2,C1,C0,0,0,2,0
Fc0C2Fc3C3Fv6V3LPS44,S,C0,C0,C0,C3,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS45,P,C3,C3,C1,C2,0,0,2,0
Fc0C2Fc3C3Fv6V3LPS46,R,C1,C0,C0,C0,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS47,P,C2,C0,C2,C0,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS48,P,C0,C0,C3,C2,0,7,2,0
Fc0C2Fc3C3Fv6V3LPS49,R,C0,C0,C0,C3,0,0,3,6
Fc0C2Fc3C3Fv6V3LPS50,V,C0,C0,C2,C1,0,0,2,0
Fc0C2Fc3C3Fv6V3LPS51,P,C0,C0,C0,C0,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS52,V,C0,C2,C0,C2,0,4,3,0
Fc0C2Fc3C3Fv6V3LPS53,R,C0,C0,C1,C3,0,6,3,0
Fc0C2Fc3C3Fv6V3LPS54,P,C2,C0,C2,C0,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS55,P,C3,C0,C2,C0,0,4,2,0
Fc0C2Fc3C3Fv6V3LPS56,T,C0,C0,C2,C0,0,0,2,0
Fc0C2Fc3C3Fv6V3LPS57,Q,C0,C0,C0,C3,0,0,2,0
Fc0C2Fc3C3Fv6V3LPS58,P,C2,C0,C0,C0,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS59,P,C2,C0,C0,C2,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS60,V,C3,C0,C2,C0,0,0,2,0
Fc0C2Fc3C3Fv6V3LPS61,T,C0,C1,C3,C3,0,5,2,0
Fc0C2Fc3C3Fv6V3LPS62,R,C0,C3,C1,C0,0,0,3,0
Fc0C2Fc3C3Fv6V3LPS63,P,C2,C3,C1,C0,0,0,2,0
Fc0C2Fc3C3Fv7V1LQS15,T,C3,C0,C3,C0,0,0,0,0
Fc0C2Fc3C3Fv7V1LQS16,Q,C0,C1,C0,C0,0,0,0,0
Fc0C2Fc3C3Fv7V1LQS17,Q,C0,C0,C3,C0,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS19,S,C2,C0,C0,C0,5,0,0,0
Fc0C2Fc3C3Fv7V1LQS20,R,C0,C2,C0,C0,0,4,0,1
Fc0C2Fc3C3Fv7V1LQS21,T,C0,C0,C3,C2,0,0,0,0
Fc0C2Fc3C3Fv7V1LQS22,S,C0,C0,C3,C1,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS23,V,C3,C3,C2,C2,0,0,6,0
Fc0C2Fc3C3Fv7V1LQS25,Q,C0,C0,C0,C2,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS26,R,C2,C0,C0,C3,8,0,0,1
Fc0C2Fc3C3Fv7V1LQS27,Q,C3,C3,C0,C0,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS29,P,C0,C3,C2,C1,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS30,P,C0,C3,C0,C0,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS31,T,C2,C0,C0,C0,4,0,0,1
Fc0C2Fc3C3Fv7V1LQS32,P,C0,C0,C0,C0,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS33,R,C3,C0,C0,C0,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS34,P,C3,C0,C0,C0,0,6,0,0
Fc0C2Fc3C3Fv7V1LQS35,Q,C2,C3,C0,C0,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS36,T,C0,C1,C1,C1,7,0,0,0
Fc0C2Fc3C3Fv7V1LQS37,Q,C1,C0,C2,C5,0,0,0,0
Fc0C2Fc3C3Fv7V1LQS38,S,C3,C0,C1,C1,6,0,0,0
Fc0C2Fc3C3Fv7V1LQS39,Q,C0,C1,C0,C0,0,0,9,1
Fc0C2Fc3C3Fv7V1LQS40,P,C0,C0,C0,C5,0,0,7,0
Fc0C2Fc3C3Fv7V1LQS41,S,C0,C2,C0,C3,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS42,Q,C0,C0,C0,C0,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS44,T,C0,C4,C1,C0,0,0,0,0
Fc0C2Fc3C3Fv7V1LQS45,P,C2,C3,C0,C1,6,0,0,0
Fc0C2Fc3C3Fv7V1LQS46,V,C2,C3,C6,C3,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS47,S,C1,C1,C1,C3,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS48,Q,C2,C1,C2,C0,4,0,0,0
Fc0C2Fc3C3Fv7V1LQS49,Q,C2,C0,C0,C0,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS50,S,C7,C0,C2,C2,0,7,0,1
Fc0C2Fc3C3Fv7V1LQS51,Q,C0,C0,C0,C0,0,4,0,0
Fc0C2Fc3C3Fv7V1LQS52,Q,C0,C1,C0,C2,0,5,0,0
Fc0C2Fc3C3Fv7V1LQS53,S,C1,C3,C0,C0,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS54,Q,C0,C1,C2,C0,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS56,S,C1,C0,C1,C0,0,0,0,0
Fc0C2Fc3C3Fv7V1LQS57,S,C0,C0,C1,C0,9,0,0,1
Fc0C2Fc3C3Fv7V1LQS58,S,C1,C0,C3,C0,8,0,0,1
Fc0C2Fc3C3Fv7V1LQS59,R,C1,C0,C0,C0,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS60,T,C0,C0,C0,C0,0,5,0,0
Fc0C2Fc3C3Fv7V1LQS61,R,C9,C3,C9,C2,0,0,0,1
Fc0C2Fc3C3Fv7V1LQS62,P,C0,C2,C4,C1,4,0,0,0
Fc0C2Fc3C3Fv7V1LQS63,S,C0,C0,C0,C0,0,0,0,0
Fc0C2Fc3C3Fv7V2LRS15,P,C1,C2,C0,C0,0,0,0,2
Fc0C2Fc3C3Fv7V2LRS17,Q,C0,C3,C3,C1,0,0,0,2
Fc0C2Fc3C3Fv7V2LRS18,P,C3,C1,C0,C3,7,0,0,2
Fc0C2Fc3C3Fv7V2LRS19,T,C1,C0,C0,C3,0,0,0,1
Fc0C2Fc3C3Fv7V2LRS20,Q,C1,C3,C5,C2,0,0,0,1
Fc0C2Fc3C3Fv7V2LRS21,P,C1,C3,C0,C0,0,8,0,1
Fc0C2Fc3C3Fv7V2LRS22,R,C3,C0,C1,C0,0,0,5,1
Fc0C2Fc3C3Fv7V2LRS23,P,C0,C0,C0,C2,0,0,7,2
Fc0C2Fc3C3Fv7V2LRS24,R,C0,C1,C0,C2,0,0,0,2
Fc0C2Fc3C3Fv7V2LRS25,R,C0,C0,C0,C0,0,3,0,2
Fc0C2Fc3C3Fv7V2LRS26,Q,C0,C3,C0,C0,0,3,0,1
Fc0C2Fc3C3Fv7V2LRS27,Q,C1,C0,C0,C2,0,0,0,1
Fc0C2Fc3C3Fv7V2LRS28,P,C0,C2,C1,C3,0,0,0,2
Fc0C2Fc3C3Fv7V2LRS29,Q,C1,C3,C0,C0,0,4,0,1
Fc0C2Fc3C3Fv7V2LRS30,P,C0,C3,C0,C0,0,0,0,2
Fc0C2Fc3C3Fv7V2LRS31,P,C2,C0,C0,C0,7,0,0,2
Fc0C2Fc3C3Fv7V2LRS33,R,C0,C3,C0,C0,0,0,0,2
Fc0C2Fc3C3Fv7V2LRS34,Q,C0,C0,C2,C1,0,6,0,2
Fc0C2Fc3C3Fv7V2LRS35,P,C3,C7,C0,C3,0,0,0,1
Fc0C2Fc3C3Fv7V2LRS37,P,C0,C9,C1,C2,0,0,5,2
Fc0C2Fc3C3Fv7V2LRS38,P,C0,C2,C3,C2,0,0,8,2
Fc0C2Fc3C3Fv7V2LRS39,Q,C0,C0,C0,C0,0,0,9,1
Fc0C2Fc3C3Fv7V2LRS40,Q,C2,C0,C6,C0,0,0,0,1
Fc0C2Fc3C3Fv7V2LRS41,T,C2,C0,C3,C0,0,0,8,2
Fc0C2Fc3C3Fv7V2LRS42,R,C2,C0,C0,C2,0,0,0,2
Fc0C2Fc3C3Fv7V2LRS43,Q,C0,C0,C2,C3,5,0,0,2
Fc0C2Fc3C3Fv7V2LRS44,P,C1,C0,C2,C2,0,3,0,2
Fc0C2Fc3C3Fv7V2LRS45,T,C6,C3,C0,C6,0,0,0,2
Fc0C2Fc3C3Fv7V2LRS46,P,C1,C5,C0,C3,0,4,0,2
Fc0C2Fc3C3Fv7V2LRS47,V,C7,C0,C3,C2,0,0,4,2
Fc0C2Fc3C3Fv7V2LRS49,Q,C4,C0,C7,C0,0,0,0,2
Fc0C2Fc3C3Fv7V2LRS50,R,C0,C0,C5,C2,0,0,0,2
Fc0C2Fc3C3Fv7V2LRS51,P,C0,C0,C0,C7,7,0,0,2
Fc0C2Fc3C3Fv7V2LRS52,T,C3,C2,C2,C3,0,0,0,2
Fc0C2Fc3C3Fv7V2LRS53,P,C1,C0,C0,C0,0,0,0,2
Fc0C2Fc3C3Fv7V2LRS54,P,C3,C0,C0,C0,4,0,0,2
Fc0C2Fc3C3Fv7V2LRS55,R,C1,C0,C2,C1,0,7,0,1
Fc0C2Fc3C3Fv7V2LRS56,Q,C2,C0,C1,C3,0,0,7,1
Fc0C2Fc3C3Fv7V2LRS57,T,C0,C3,C0,C1,6,0,0,1
Fc0C2Fc3C3Fv7V2LRS58,R,C0,C0,C0,C2,0,0,0,2
Fc0C2Fc3C3Fv7V2LRS59,P,C0,C0,C1,C1,3,0,0,2
Fc0C2Fc3C3Fv7V2LRS61,P,C0,C0,C1,C3,0,0,5,2
Fc0C2Fc3C3Fv7V2LRS62,P,C1,C0,C1,C2,7,0,0,2
Fc0C2Fc3C3Fv7V2LRS63,P,C0,C2,C0,C0,0,0,7,2
Fc0C2Fc3C3Fv7V3LSS15,Q,C0,C2,C0,C0,0,0,3,3
Fc0C2Fc3C3Fv7V3LSS16,V,C0,C0,C0,C1,0,4,0,2
Fc0C2Fc3C3Fv7V3LSS17,Q,C1,C0,C0,C0,0,6,0,3
Fc0C2Fc3C3Fv7V3LSS18,S,C0,C2,C2,C3,0,0,0,3
Fc0C2Fc3C3Fv7V3LSS19,V,C0,C0,C1,C2,0,5,0,3
Fc0C2Fc3C3Fv7V3LSS20,S,C0,C0,C1,C0,0,0,6,2
Fc0C2Fc3C3Fv7V3LSS21,V,C3,C2,C3,C1,9,0,0,2
Fc0C2Fc3C3Fv7V3LSS22,Q,C1,C0,C3,C3,4,0,0,3
Fc0C2Fc3C3Fv7V3LSS23,S,C0,C2,C0,C2,0,0,0,3
Fc0C2Fc3C3Fv7V3LSS24,P,C0,C0,C9,C3,0,0,0,3
Fc0C2Fc3C3Fv7V3LSS25,P,C3,C3,C0,C3,0,0,4,3
Fc0C2Fc3C3Fv7V3LSS26,S,C0,C3,C0,C2,0,0,0,2
Fc0C2Fc3C3Fv7V3LSS27,Q,C0,C0,C3,C0,0,0,4,2
Fc0C2Fc3C3Fv7V3LSS28,Q,C0,C1,C1,C0,0,0,0,2
Fc0C2Fc3C3Fv7V3LSS29,S,C0,C2,C0,C0,0,0,0,2
Fc0C2Fc3C3Fv7V3LSS30,S,C2,C0,C0,C2,0,0,0,2
Fc0C2Fc3C3Fv7V3LSS31,V,C0,C2,C0,C0,0,7,0,2
Fc0C2Fc3C3Fv7V3LSS32,S,C0,C3,C0,C3,0,0,0,2
Fc0C2Fc3C3Fv7V3LSS33,S,C0,C1,C0,C2,5,0,0,2
Fc0C2Fc3C3Fv7V3LSS34,Q,C1,C2,C2,C0,0,0,0,2
Fc0C2Fc3C3Fv7V3LSS36,Q,C2,C0,C1,C2,0,0,0,2
Fc0C2Fc3C3Fv7V3LSS37,V,C0,C3,C0,C0,0,0,0,2
Fc0C2Fc3C3Fv7V3LSS38,P,C2,C1,C1,C3,0,0,7,2
Fc0C2Fc3C3Fv7V3LSS39,Q,C1,C2,C0,C0,0,0,0,3
Fc0C2Fc3C3Fv7V3LSS40,Q,C3,C2,C0,C2,0,0,7,3
Fc0C2Fc3C3Fv7V3LSS42,Q,C0,C0,C1,C0,0,0,0,2
Fc0C2Fc3C3Fv7V3LSS43,S,C3,C0,C2,C3,0,0,6,3
Fc0C2Fc3C3Fv7V3LSS44,Q,C0,C7,C3,C0,0,5,0,2
Fc0C2Fc3C3Fv7V3LSS45,P,C1,C0,C0,C0,7,0,0,3
Fc0C2Fc3C3Fv7V3LSS46,Q,C1,C0,C0,C0,0,0,0,3
Fc0C2Fc3C3Fv7V3LSS47,R,C3,C0,C0,C0,0,0,0,2
Fc0C2Fc3C3Fv7V3LSS48,S,C0,C0,C0,C3,0,5,0,2
Fc0C2Fc3C3Fv7V3LSS49,R,C0,C2,C2,C1,5,0,0,2
Fc0C2Fc3C3Fv7V3LSS50,Q,C2,C1,C0,C3,0,0,0,3
Fc0C2Fc3C3Fv7V3LSS51,R,C0,C0,C3,C0,0,0,0,2
Fc0C2Fc3C3Fv7V3LSS52,Q,C0,C0,C0,C3,0,8,0,3
Fc0C2Fc3C3Fv7V3LSS53,Q,C0,C0,C2,C1,9,0,0,3
Fc0C2Fc3C3Fv7V3LSS54,V,C0,C3,C2,C0,0,0,0,2
Fc0C2Fc3C3Fv7V3LSS55,V,C1,C3,C3,C0,0,5,0,3
Fc0C2Fc3C3Fv7V3LSS56,S,C3,C3,C0,C0,0,0,0,3
Fc0C2Fc3C3Fv7V3LSS57,P,C0,C0,C2,C0,7,0,0,2
Fc0C2Fc3C3Fv7V3LSS58,V,C2,C2,C3,C2,0,9,3,4
Fc0C2Fc3C3Fv7V3LSS59,R,C0,C6,C0,C8,8,0,0,2
Fc0C2Fc3C3Fv7V3LSS60,P,C3,C0,C0,C1,0,0,7,3
Fc0C2Fc3C3Fv7V3LSS61,Q,C0,C0,C1,C1,5,0,0,3
Fc0C2Fc3C3Fv7V3LSS62,V,C2,C3,C1,C0,0,0,0,2
Fc0C2Fc3C3Fv7V3LSS63,V,C0,C0,C3,C0,0,0,8,2
Fc0C2Fv4V1LTS15,S,C1,C2,C0,C3,1,0,5,0
Fc0C2Fv4V1LTS16,P,C2,C0,C0,C1,0,0,0,7
Fc0C2Fv4V1LTS18,T,C1,C3,C2,C0,0,0,3,0
Fc0C2Fv4V1LTS19,T,C0,C2,C0,C0,1,0,0,6
Fc0C2Fv4V1LTS20,T,C3,C0,C3,C0,0,0,0,0
Fc0C2Fv4V1LTS21,T,C0,C0,C3,C0,1,0,0,0
Fc0C2Fv4V1LTS22,R,C1,C0,C3,C3,0,0,4,0
Fc0C2Fv4V1LTS23,Q,C2,C4,C3,C1,1,0,0,0
Fc0C2Fv4V1LTS24,R,C0,C0,C0,C1,0,9,0,0
Fc0C2Fv4V1LTS25,Q,C0,C1,C2,C1,0,5,0,0
Fc0C2Fv4V1LTS26,P,C2,C0,C1,C0,0,0,0,0
Fc0C2Fv4V1LTS27,T,C0,C1,C0,C0,1,0,0,0
Fc0C2Fv4V1LTS28,R,C0,C0,C2,C0,1,0,3,0
Fc0C2Fv4V1LTS29,S,C0,C3,C3,C0,0,9,0,0
Fc0C2Fv4V1LTS30,R,C0,C2,C2,C2,0,8,0,0
Fc0C2Fv4V1LTS31,T,C0,C0,C3,C0,1,0,0,0
Fc0C2Fv4V1LTS32,R,C2,C2,C3,C3,0,0,0,0
Fc0C2Fv4V1LTS33,P,C3,C3,C0,C1,0,0,0,0
Fc0C2Fv4V1LTS34,P,C0,C2,C3,C1,0,0,6,0
Fc0C2Fv4V1LTS35,P,C0,C0,C0,C3,0,9,0,0
Fc0C2Fv4V1LTS37,Q,C0,C2,C0,C0,1,0,7,0
Fc0C2Fv4V1LTS38,Q,C3,C1,C2,C4,0,0,0,0
Fc0C2Fv4V1LTS39,Q,C2,C2,C0,C1,1,3,0,0
Fc0C2Fv4V1LTS40,Q,C1,C0,C2,C0,0,0,0,0
Fc0C2Fv4V1LTS41,Q,C2,C0,C0,C0,1,3,0,0
Fc0C2Fv4V1LTS42,T,C0,C0,C3,C0,1,0,0,0
Fc0C2Fv4V1LTS43,R,C2,C2,C1,C0,0,0,0,0
Fc0C2Fv4V1LTS44,Q,C2,C1,C1,C3,1,0,0,4
Fc0C2Fv4V1LTS45,T,C0,C3,C3,C0,0,0,0,0
Fc0C2Fv4V1LTS46,T,C3,C0,C3,C0,0,0,0,0
Fc0C2Fv4V1LTS47,P,C0,C2,C3,C0,0,0,0,0
Fc0C2Fv4V1LTS48,T,C0,C0,C3,C0,0,0,0,0
Fc0C2Fv4V1LTS49,P,C0,C0,C2,C1,0,0,9,0
Fc0C2Fv4V1LTS50,Q,C3,C2,C2,C3,0,0,6,0
Fc0C2Fv4V1LTS51,V,C3,C1,C1,C3,0,0,0,0
Fc0C2Fv4V1LTS52,T,C0,C0,C3,C0,0,0,0,0
Fc0C2Fv4V1LTS53,R,C1,C0,C1,C0,1,4,0,0
Fc0C2Fv4V1LTS54,S,C4,C4,C2,C0,0,0,9,0
Fc0C2Fv4V1LTS55,P,C1,C0,C0,C1,1,0,0,0
Fc0C2Fv4V1LTS56,Q,C0,C0,C3,C2,1,0,0,0
Fc0C2Fv4V1LTS59,T,C0,C1,C2,C1,0,0,0,0
Fc0C2Fv4V1LTS60,Q,C0,C0,C3,C0,1,0,0,0
Fc0C2Fv4V1LTS61,R,C2,C0,C0,C2,0,0,0,0
Fc0C2Fv4V1LTS62,R,C1,C1,C1,C0,1,5,0,0
Fc0C2Fv4V1LTS63,Q,C0,C0,C2,C0,0,5,0,0
Fc0C2Fv4V1Fv5V1LVS15,P,C0,C0,C0,C0,1,1,0,0
Fc0C2Fv4V1Fv5V1LVS16,P,C1,C0,C0,C9,0,0,7,0
Fc0C2Fv4V1Fv5V1LVS17,P,C0,C7,C0,C3,1,1,0,8
Fc0C2Fv4V1Fv5V1LVS19,S,C0,C0,C0,C1,1,0,0,0
Fc0C2Fv4V1Fv5V1LVS20,S,C0,C9,C0,C0,0,0,0,0
Fc0C2Fv4V1Fv5V1LVS21,Q,C0,C0,C0,C2,1,0,0,0
Fc0C2Fv4V1Fv5V1LVS22,S,C0,C0,C0,C0,0,1,0,8
Fc0C2Fv4V1Fv5V1LVS23,P,C0,C0,C0,C0,0,1,0,0
Fc0C2Fv4V1Fv5V1LVS24,R,C0,C6,C2,C0,0,0,0,0
Fc0C2Fv4V1Fv5V1LVS25,P,C0,C0,C0,C2,1,1,0,0
